id,quality_grade,url,image_url,species_guess,scientific_name,common_name
11386313,research,https://www.inaturalist.org/observations/11386313,https://static.inaturalist.org/photos/16229227/medium.jpg,Галка,Coloeus monedula,Галка
18661831,research,https://www.inaturalist.org/observations/18661831,https://inaturalist-open-data.s3.amazonaws.com/photos/28567795/medium.jpg,Галка,Coloeus monedula,Галка
21071815,research,https://www.inaturalist.org/observations/21071815,https://inaturalist-open-data.s3.amazonaws.com/photos/32558728/medium.jpg,Галка,Coloeus monedula,Галка
22547634,research,https://www.inaturalist.org/observations/22547634,https://inaturalist-open-data.s3.amazonaws.com/photos/34934273/medium.jpg,Choucas des tours russe,Coloeus monedula soemmerringii,
23202097,research,https://www.inaturalist.org/observations/23202097,https://inaturalist-open-data.s3.amazonaws.com/photos/35954465/medium.jpeg,Галка,Coloeus monedula,Галка
23227575,research,https://www.inaturalist.org/observations/23227575,https://inaturalist-open-data.s3.amazonaws.com/photos/35991328/medium.jpeg,Галка,Coloeus monedula,Галка
23228159,research,https://www.inaturalist.org/observations/23228159,https://inaturalist-open-data.s3.amazonaws.com/photos/35992211/medium.jpeg,Галка,Coloeus monedula,Галка
23228264,research,https://www.inaturalist.org/observations/23228264,https://inaturalist-open-data.s3.amazonaws.com/photos/35992835/medium.jpeg,Галка,Coloeus monedula,Галка
32257002,research,https://www.inaturalist.org/observations/32257002,https://static.inaturalist.org/photos/50577489/medium.jpg,Галка,Coloeus monedula,Галка
34011287,research,https://www.inaturalist.org/observations/34011287,https://inaturalist-open-data.s3.amazonaws.com/photos/53479820/medium.jpeg,Eurasian Jackdaw,Coloeus monedula,Галка
35232117,research,https://www.inaturalist.org/observations/35232117,https://static.inaturalist.org/photos/55534605/medium.jpg,Галка,Coloeus monedula,Галка
35380151,research,https://www.inaturalist.org/observations/35380151,https://inaturalist-open-data.s3.amazonaws.com/photos/55783468/medium.jpg,Eurasian Jackdaw,Coloeus monedula,Галка
